t_s,robot_x,robot_y,robot_z,robot_qw,robot_qx,robot_qy,robot_qz,elevator_x,elevator_y,elevator_z,elevator_qw,elevator_qx,elevator_qy,elevator_qz,pivot_x,pivot_y,pivot_z,pivot_qw,pivot_qx,pivot_qy,pivot_qz
1.617838,5.123652,5.519546,0.000000,0.859572,0.000000,0.000000,0.511014,0.000000,0.000000,0.801067,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.661492,-0.080447,0.000000,-0.996759,0.000000
1.637835,5.122890,5.519420,0.000000,0.858479,0.000000,0.000000,0.512849,0.000000,0.000000,0.800726,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.661151,-0.082740,0.000000,-0.996571,0.000000
1.657869,5.122837,5.519459,0.000000,0.857624,0.000000,0.000000,0.514278,0.000000,0.000000,0.801408,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.661833,-0.098017,0.000000,-0.995185,0.000000
1.677829,5.122851,5.519619,0.000000,0.854788,0.000000,0.000000,0.518977,0.000000,0.000000,0.802320,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.662745,-0.125455,0.000000,-0.992099,0.000000
1.698011,5.122299,5.519628,0.000000,0.852867,0.000000,0.000000,0.522128,0.000000,0.000000,0.802860,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663285,-0.163400,0.000000,-0.986560,0.000000
1.717897,5.121962,5.519741,0.000000,0.851472,0.000000,0.000000,0.524401,0.000000,0.000000,0.802990,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663415,-0.208612,0.000000,-0.977999,0.000000
1.739136,5.122611,5.520955,0.000000,0.850819,0.000000,0.000000,0.525459,0.000000,0.000000,0.803039,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663464,-0.258572,0.000000,-0.965992,0.000000
1.758020,5.123213,5.522330,0.000000,0.851020,0.000000,0.000000,0.525133,0.000000,0.000000,0.803294,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663719,-0.311496,0.000000,-0.950247,0.000000
1.777850,5.125840,5.524223,0.000000,0.851452,0.000000,0.000000,0.524432,0.000000,0.000000,0.803473,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663898,-0.361326,0.000000,-0.932440,0.000000
1.798218,5.127203,5.524805,0.000000,0.851691,0.000000,0.000000,0.524044,0.000000,0.000000,0.803703,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.664128,-0.403838,0.000000,-0.914830,0.000000
